incident_id,title,description,severity,status,created_at,priority
INC-000001,Service outage,Database timeout,P2,Open,2024-05-18,Medium
INC-000002,Service outage,API failing intermittently,P2,Closed,2024-01-10,High
INC-000003,Slow response,API failing intermittently,P1,Open,2023-09-18,Critical
INC-000004,Delayed delivery,Customer reported delay,P1,In Progress,2025-07-27,Critical
INC-000005,Packet loss,API failing intermittently,P3,Closed,2025-02-24,High
INC-000006,Service outage,Disk full warning,P3,Resolved,2023-02-03,Critical
INC-000007,Packet loss,Database timeout,P3,Open,2025-04-09,Low
INC-000008,DB error,Disk full warning,P3,Closed,2024-06-01,Low
INC-000009,Delayed delivery,Customer reported delay,P3,Open,2025-12-20,Critical
INC-000010,Delayed delivery,API failing intermittently,P1,Open,2024-09-04,Medium
INC-000011,Delayed delivery,Database timeout,P3,Open,2024-08-13,Low
INC-000012,Delayed delivery,Customer reported delay,P2,In Progress,2025-04-05,Low
INC-000013,Login failure,Database timeout,P3,In Progress,2024-11-26,Medium
INC-000014,Service outage,API failing intermittently,P3,In Progress,2023-01-01,Low
INC-000015,Login failure,API failing intermittently,P1,Resolved,2023-12-24,Medium
INC-000016,Packet loss,Disk full warning,P3,In Progress,2023-03-08,Medium
INC-000017,Packet loss,Customer reported delay,P1,Open,2025-08-21,Critical
INC-000018,Slow response,Customer reported delay,P2,Open,2023-12-19,Low
INC-000019,Slow response,Database timeout,P1,In Progress,2023-05-20,Critical
INC-000020,Packet loss,Database timeout,P2,Closed,2024-10-22,Medium
INC-000021,Delayed delivery,API failing intermittently,P1,Resolved,2024-07-06,Critical
INC-000022,Slow response,Packet drops on core switch,P1,Closed,2024-06-05,Medium
INC-000023,DB error,Disk full warning,P2,Resolved,2024-08-18,Critical
INC-000024,Packet loss,API failing intermittently,P1,Resolved,2023-09-07,Medium
INC-000025,Delayed delivery,Customer reported delay,P3,Open,2023-09-21,Critical
INC-000026,Login failure,API failing intermittently,P2,In Progress,2023-09-09,Low
INC-000027,Delayed delivery,Packet drops on core switch,P2,Closed,2023-10-24,Medium
INC-000028,Packet loss,Disk full warning,P3,Open,2024-06-17,Critical
INC-000029,Delayed delivery,Packet drops on core switch,P3,In Progress,2025-03-15,High
INC-000030,Packet loss,API failing intermittently,P3,In Progress,2025-12-16,Medium
INC-000031,Service outage,Packet drops on core switch,P2,In Progress,2023-05-12,High
