instance_id,name,type,city,country
LOC-0001,Site-001,Colo,Austin,USA
LOC-0002,Site-002,Colo,Atlanta,USA
LOC-0003,Site-003,Datacenter,Phoenix,USA
LOC-0004,Site-004,Colo,NewYork,USA
LOC-0005,Site-005,Colo,Denver,USA
LOC-0006,Site-006,Datacenter,Austin,USA
LOC-0007,Site-007,Datacenter,NewYork,USA
LOC-0008,Site-008,Colo,Chicago,USA
LOC-0009,Site-009,Datacenter,Miami,USA
LOC-0010,Site-010,Datacenter,Phoenix,USA
LOC-0011,Site-011,Edge,Atlanta,USA
LOC-0012,Site-012,Datacenter,Seattle,USA
LOC-0013,Site-013,Datacenter,Denver,USA
LOC-0014,Site-014,Edge,Seattle,USA
LOC-0015,Site-015,Datacenter,Miami,USA
LOC-0016,Site-016,Edge,Austin,USA
LOC-0017,Site-017,Colo,SanJose,USA
LOC-0018,Site-018,Colo,Chicago,USA
LOC-0019,Site-019,Datacenter,Chicago,USA
LOC-0020,Site-020,Datacenter,Chicago,USA
LOC-0021,Site-021,Edge,Atlanta,USA
LOC-0022,Site-022,Colo,Seattle,USA
LOC-0023,Site-023,Edge,Seattle,USA
LOC-0024,Site-024,Colo,Atlanta,USA
LOC-0025,Site-025,Colo,Phoenix,USA
LOC-0026,Site-026,Datacenter,Miami,USA
LOC-0027,Site-027,Edge,NewYork,USA
LOC-0028,Site-028,Colo,Seattle,USA
LOC-0029,Site-029,Datacenter,Dallas,USA
LOC-0030,Site-030,Edge,Atlanta,USA
LOC-0031,Site-031,Datacenter,SanJose,USA
LOC-0032,Site-032,Datacenter,Miami,USA
LOC-0033,Site-033,Colo,Miami,USA
LOC-0034,Site-034,Edge,Phoenix,USA
LOC-0035,Site-035,Colo,NewYork,USA
LOC-0036,Site-036,Colo,SanJose,USA
LOC-0037,Site-037,Colo,Denver,USA
LOC-0038,Site-038,Datacenter,Phoenix,USA
LOC-0039,Site-039,Datacenter,Dallas,USA
LOC-0040,Site-040,Datacenter,Phoenix,USA
LOC-0041,Site-041,Colo,Austin,USA
LOC-0042,Site-042,Edge,SanJose,USA
LOC-0043,Site-043,Colo,Atlanta,USA
LOC-0044,Site-044,Colo,Austin,USA
LOC-0045,Site-045,Colo,Seattle,USA
LOC-0046,Site-046,Edge,Denver,USA
LOC-0047,Site-047,Edge,Dallas,USA
LOC-0048,Site-048,Colo,Phoenix,USA
LOC-0049,Site-049,Colo,Atlanta,USA
LOC-0050,Site-050,Datacenter,Seattle,USA
LOC-0051,Site-051,Colo,NewYork,USA
LOC-0052,Site-052,Colo,Seattle,USA
LOC-0053,Site-053,Datacenter,Austin,USA
LOC-0054,Site-054,Edge,Chicago,USA
LOC-0055,Site-055,Datacenter,SanJose,USA
LOC-0056,Site-056,Datacenter,Miami,USA
LOC-0057,Site-057,Colo,Phoenix,USA
LOC-0058,Site-058,Colo,Miami,USA
LOC-0059,Site-059,Edge,NewYork,USA
LOC-0060,Site-060,Datacenter,NewYork,USA
LOC-0061,Site-061,Colo,Atlanta,USA
LOC-0062,Site-062,Colo,Seattle,USA
LOC-0063,Site-063,Colo,Miami,USA
LOC-0064,Site-064,Datacenter,Chicago,USA
LOC-0065,Site-065,Edge,Dallas,USA
LOC-0066,Site-066,Colo,Chicago,USA
LOC-0067,Site-067,Datacenter,Dallas,USA
LOC-0068,Site-068,Datacenter,Dallas,USA
LOC-0069,Site-069,Datacenter,NewYork,USA
LOC-0070,Site-070,Edge,Miami,USA
LOC-0071,Site-071,Colo,Phoenix,USA
LOC-0072,Site-072,Datacenter,Miami,USA
LOC-0073,Site-073,Datacenter,Austin,USA
LOC-0074,Site-074,Colo,Denver,USA
LOC-0075,Site-075,Edge,Denver,USA
LOC-0076,Site-076,Colo,Dallas,USA
LOC-0077,Site-077,Datacenter,Denver,USA
LOC-0078,Site-078,Datacenter,Chicago,USA
LOC-0079,Site-079,Datacenter,NewYork,USA
LOC-0080,Site-080,Datacenter,Denver,USA
LOC-0081,Site-081,Edge,Miami,USA
LOC-0082,Site-082,Datacenter,Miami,USA
LOC-0083,Site-083,Datacenter,NewYork,USA
LOC-0084,Site-084,Datacenter,Chicago,USA
LOC-0085,Site-085,Edge,Miami,USA
LOC-0086,Site-086,Datacenter,Denver,USA
LOC-0087,Site-087,Datacenter,Denver,USA
LOC-0088,Site-088,Edge,Atlanta,USA
LOC-0089,Site-089,Edge,Denver,USA
LOC-0090,Site-090,Datacenter,Chicago,USA
LOC-0091,Site-091,Datacenter,Dallas,USA
LOC-0092,Site-092,Colo,Seattle,USA
LOC-0093,Site-093,Datacenter,SanJose,USA
LOC-0094,Site-094,Colo,NewYork,USA
LOC-0095,Site-095,Datacenter,NewYork,USA
LOC-0096,Site-096,Datacenter,Austin,USA
LOC-0097,Site-097,Colo,Chicago,USA
LOC-0098,Site-098,Datacenter,SanJose,USA
LOC-0099,Site-099,Colo,SanJose,USA
LOC-0100,Site-100,Colo,Austin,USA
LOC-0101,Site-101,Colo,SanJose,USA
LOC-0102,Site-102,Edge,Chicago,USA
LOC-0103,Site-103,Datacenter,Atlanta,USA
LOC-0104,Site-104,Datacenter,Atlanta,USA
LOC-0105,Site-105,Edge,Austin,USA
LOC-0106,Site-106,Edge,SanJose,USA
LOC-0107,Site-107,Datacenter,NewYork,USA
LOC-0108,Site-108,Colo,Atlanta,USA
LOC-0109,Site-109,Edge,Austin,USA
LOC-0110,Site-110,Edge,Atlanta,USA
LOC-0111,Site-111,Edge,NewYork,USA
LOC-0112,Site-112,Colo,NewYork,USA
LOC-0113,Site-113,Colo,NewYork,USA
LOC-0114,Site-114,Colo,Austin,USA
LOC-0115,Site-115,Edge,Austin,USA
LOC-0116,Site-116,Colo,NewYork,USA
LOC-0117,Site-117,Edge,Atlanta,USA
LOC-0118,Site-118,Colo,Seattle,USA
LOC-0119,Site-119,Colo,Atlanta,USA
LOC-0120,Site-120,Edge,Dallas,USA
LOC-0121,Site-121,Colo,Denver,USA
LOC-0122,Site-122,Datacenter,Dallas,USA
LOC-0123,Site-123,Datacenter,Atlanta,USA
LOC-0124,Site-124,Colo,Miami,USA
LOC-0125,Site-125,Colo,Dallas,USA
LOC-0126,Site-126,Datacenter,Phoenix,USA
LOC-0127,Site-127,Edge,SanJose,USA
LOC-0128,Site-128,Edge,Phoenix,USA
LOC-0129,Site-129,Edge,Seattle,USA
LOC-0130,Site-130,Edge,Chicago,USA
LOC-0131,Site-131,Colo,Austin,USA
LOC-0132,Site-132,Colo,Denver,USA
LOC-0133,Site-133,Datacenter,Phoenix,USA
LOC-0134,Site-134,Edge,Dallas,USA
LOC-0135,Site-135,Colo,Seattle,USA
LOC-0136,Site-136,Colo,Chicago,USA
LOC-0137,Site-137,Datacenter,Austin,USA
LOC-0138,Site-138,Datacenter,Miami,USA
LOC-0139,Site-139,Datacenter,Miami,USA
LOC-0140,Site-140,Edge,Chicago,USA
LOC-0141,Site-141,Datacenter,Chicago,USA
LOC-0142,Site-142,Edge,Atlanta,USA
LOC-0143,Site-143,Edge,Seattle,USA
LOC-0144,Site-144,Colo,NewYork,USA
LOC-0145,Site-145,Datacenter,Austin,USA
LOC-0146,Site-146,Datacenter,SanJose,USA
LOC-0147,Site-147,Datacenter,Austin,USA
LOC-0148,Site-148,Edge,Seattle,USA
LOC-0149,Site-149,Colo,NewYork,USA
LOC-0150,Site-150,Edge,SanJose,USA
